endTime,artistName,trackName,msPlayed
2021-12-05 16:43,Kisum,Finding Differences,193320
2021-12-05 16:47,BAEKHYUN,Take You Home,234954
2021-12-05 16:51,CHO JUNG SEOK,Aloha,244999
2021-12-05 16:55,V,Sweet Night,214258
2021-12-05 16:58,Younha,Nonsense,199014
2021-12-05 17:02,HowL,Perhaps Love,275342
2021-12-05 17:06,4Minute,Creating Love,221000
2021-12-05 17:10,Suzy,Ring My Bell,205683
2021-12-05 17:13,Room 39,รักตัวเอง,219130
2021-12-05 17:18,DEAN,instagram,255728
2021-12-05 17:21,WENDY,Don’t Push Me,198876
2021-12-05 17:24,URBOYTJ,ผี - Ghost,202352
2021-12-05 17:29,Martin Smith,Stupid Love,265438
2021-12-05 17:32,URBOYTJ,กอดได้ไหม,209916
2021-12-05 17:36,Suzy,Dream,222415
2021-12-05 17:40,Chancellor,Angel (feat. TAEYEON),264052
2021-12-05 17:44,Sung Si Kyung,Every moment of you 너의 모든 순간,243323
2021-12-05 17:48,Park Kyung,Ordinary Love,232866
2021-12-05 17:53,Roy Kim,HEAVEN,259787
2021-12-05 17:56,Junggigo,D-Day,207479
2021-12-05 19:33,Cassie,Is It You - Single Version,597
2021-12-05 19:33,Bazzi,Paradise,1386
2021-12-05 19:33,Boy Peacemaker,ความอ่อนแอ,917
2021-12-05 19:33,Maggie Rogers,Light On,640
2021-12-05 19:33,Louis The Child,Nobody Like You (with Vera Blue),47268
2021-12-05 19:37,Maggie Rogers,Light On,233880
2021-12-05 19:41,Cassie,Is It You - Single Version,237973
2021-12-05 22:07,Mumford & Sons,I Will Wait,6138
2021-12-05 22:07,The Parkinson,เพื่อนรัก,179050
2021-12-05 22:07,Whee In,Shine On You,36554
2021-12-05 22:07,Backstreet Boys,Shape of My Heart,1621
2021-12-05 22:07,Alicia Keys,If I Ain't Got You,930
2021-12-05 22:07,Friday,ไม่ว่าเธอจะรักฉันหรือไม่,5020
2021-12-05 22:10,Sam Hunt,23,179720
2021-12-05 22:14,Craig David,Don't Love You No More (I'm Sorry),243986
2021-12-05 22:18,Take That,Get Ready For It,219090
2021-12-05 22:22,Bell Supol,ไม่ธรรมดา,239853
2021-12-05 22:26,Clash,ละครรักแท้,194586
2021-12-05 22:29,KAYDEN,Something,181512
2021-12-05 22:33,Ink Waruntorn,เกี่ยวกันไหม(You?),253066
2021-12-05 22:37,James Bay,Hold Back The River,238746
2021-12-05 22:40,Eric Bellinger,Valet (feat. Fetty Wap and 2 Chainz),204324
2021-12-05 22:44,Ruel,as long as you care,193189
2021-12-06 08:06,Christian French,Fall for You,87344
2021-12-06 08:09,Social House,Magic In The Hamptons (feat. Lil Yachty),164640
2021-12-06 08:13,Green Day,Boulevard of Broken Dreams,262333
2021-12-06 10:38,Bazzi,Honest,831
2021-12-06 10:38,Tayla Parx,Fight (feat. Florida Georgia Line),122917
2021-12-06 10:39,Jimmy Eat World,Sure and Certain,831
2021-12-06 10:39,Switchfoot,lost ‘cause,895
2021-12-06 10:39,Sqweez Animal,รักลอยลม,874
2021-12-06 10:44,Diddy,I'll Be Missing You (feat. 112),301520
2021-12-06 10:48,OneRepublic,If I Lose Myself,5260
2021-12-06 10:48,URBOYTJ,ถามคำ,195791
2021-12-06 10:58,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),613026
2021-12-06 11:02,Blue Shade,ความรักที่ดีที่สุด,268346
2021-12-06 11:06,Taylor Swift,22,195476
2021-12-06 11:08,Jimmy Eat World,The Middle,165853
2021-12-06 11:09,JETSET'ER,ไม่ใกล้ไม่ไกล - เพลงประกอบละคร มนต์จันทรา,800
2021-12-06 11:09,P!nk,Just Give Me a Reason (feat. Nate Ruess),1250
2021-12-06 11:09,The Chainsmokers,Push My Luck,58116
2021-12-06 11:09,Aina Abdul,Reminiscing,1050
2021-12-06 11:09,Westlife,More than Words,1450
2021-12-06 11:10,John Mayer,Waiting On the World to Change,920
